Patópolis	patopolitano	N	J	ano	suffix
feminazi	feminazismo	N	N	ismo	suffix
reset	resetar	N	V	ar	suffix
escaganifobético	escaganifobeticamente	J	R	mente	suffix
escanifobético	escanifobeticamente	J	J	mente	suffix
colectivizar	colectivização	V	N	ção	suffix
bloqueo	geobloqueio	N	N	geo	prefix
ultradireita	ultradireitismo	N	N	ismo	suffix
bróder	broderagem	N	N	agem	suffix
mitar	mitagem	V	N	agem	suffix
activo	activismo	J	N	ismo	suffix
tranqüilo	tranqüilamente	J	R	mente	suffix
sónico	hipersónico	J	J	hiper	prefix
agrónomo	agronómico	N	J	ico	suffix
activar	activação	V	N	ação	suffix
jihad	jihadista	N	N	ista	suffix
correcto	correctamente	J	R	mente	suffix
eutanasia	eutanasiar	N	V	ar	suffix
incorrecto	incorrectamente	J	R	mente	suffix
zica	zicar	N	V	ar	suffix
crol	crolista	N	N	ista	suffix
poliamor	poliamoroso	N	J	oso	suffix
ziguezague	ziguezaguear	N	V	ar	suffix
rejogar	rejogabilidade	V	N	abilidade	suffix
punhetar	punhetagem	V	N	agem	suffix
ântero-medial	ântero-medialmente	J	R	mente	suffix
desjudicializar	desjudicialização	V	N	ção	suffix
ântero-ventral	ântero-ventralmente	J	R	mente	suffix
negligível	negligivelmente	J	R	mente	suffix
negligível	negligibilidade	J	N	idade	suffix
acariciável	acariciavelmente	J	R	mente	suffix
activo	actividade	J	N	idade	suffix
activo	activar	J	V	ar	suffix
adoptar	adopção	V	N	ção	suffix
badminton	badmintonista	N	N	ista	suffix
projecto	projectar	N	V	ar	suffix
actual	actualidade	J	N	idade	suffix
protecção	proteccionista	N	J	ista	suffix
protecção	proteccionismo	N	N	ismo	suffix
protecção	proteccional	N	J	al	suffix
adopção	adopcionismo	N	N	ismo	suffix
azerbaijano	azerbaijanês	N	N	ês	suffix
macedónio	macedónia	N	N	a	suffix
demónia	demónio	N	N	o	suffix
demónio	demónia	N	N	a	suffix
subseqüente	subseqüência	J	N	ência	suffix
subseqüente	subseqüentemente	J	R	mente	suffix
voyeur	voyeurista	N	J	ista	suffix
voyeurista	voyeurístico	N	J	ico	suffix
coreógrafo	coreógrafa	N	N	a	suffix
directo	directamente	R	R	mente	suffix
abstracto	abstractivo	J	J	ivo	suffix
activo	activamente	J	R	mente	suffix
activo	retroactivo	J	J	retro	prefix
actual	actualismo	J	N	ismo	suffix
actual	actualizar	J	V	izar	suffix
colecção	coleccionismo	N	N	ismo	suffix
correcto	correctismo	J	N	ismo	suffix
efectivo	efectividade	J	N	idade	suffix
eloqüente	eloqüentemente	J	R	mente	suffix
exacto	exactamente	J	R	mente	suffix
exacto	inexacto	J	J	in	prefix
retroactivo	retroactivamente	J	R	mente	suffix
sujeto	sujetar	N	V	ar	suffix
stresse	stressar	V	V	ar	suffix
económico	geoeconómico	J	J	geo	prefix
económico	socioeconómico	J	J	socio	prefix
radioactivo	radioactivamente	J	R	mente	suffix
radioactivo	radioactivar	J	V	ar	suffix
radioactivo	radioactividade	J	N	idade	suffix
barómetro	termobarómetro	N	N	termo	prefix
idóneo	inidóneo	J	J	in	prefix
topónimo	astrotopónimo	N	N	astro	prefix
topónimo	ecotopónimo	N	N	eco	prefix
topónimo	hidrotopónimo	N	N	hidro	prefix
aerobiologia	aerobiológico	N	J	ico	suffix
nanobiotecnologia	nanobiotecnológico	N	J	ico	suffix
etnozoologia	etnozoológico	N	J	ico	suffix
dendroclimatologia	dendroclimatológico	N	J	ico	suffix
ciclónico	anticiclónico	J	J	anti	prefix
agroeconómico	agroeconomicamente	J	R	mente	suffix
agroeconomia	agroeconómico	N	J	ico	suffix
correctivo	correctivamente	J	R	mente	suffix
inexacto	inexactamente	J	R	mente	suffix
eufónico	eufónicamente	J	R	mente	suffix
barn	nanobarn	N	N	nano	prefix
kermesita	kermesítico	N	J	ico	suffix
kimberlito	kimberlítico	N	J	ico	suffix
knopita	knopítico	N	J	ico	suffix
kremlinologia	kremlinológico	N	J	ico	suffix
kremlinologia	kremlinologista	N	N	ista	suffix
kunzita	kunzítico	N	J	ico	suffix
kurchatóvio	kurchatóvico	N	J	ico	suffix
desnobre	desnobríssimo	J	J	íssimo	suffix
repolo	repoludo	N	J	udo	suffix
fachenda	fachendear	N	V	ear	suffix
cabujo	cabujento	N	J	ento	suffix
helimodelo	helimodelismo	N	N	ismo	suffix
bugue	bugueiro	N	U	eiro	suffix
pandemónio	pandemónico	N	J	ico	suffix
nómada	seminómada	J	J	semi	prefix
acoxambrar	acoxambração	V	N	ção	suffix
teatrologia	teatrológico	N	J	ico	suffix
indentar	indentação	N	N	ção	suffix
